JobName,CompanyName,WorkingArea,Salary
人工智能专职教师,江西软件职业技术大学,南昌,0.8-1.2万/月
高级编辑（电子、物联网、人工智能）,深圳市互联港湾网络技术有限公司,深圳-南山区,1-2万/月
人工智能平台 营运经理,贵州广思信息网络有限公司,广州-黄埔区,1.2-2万/月
业务员（人工智能）,深圳市阳光视觉科技有限公司,深圳-龙华区,1-1.5万/月
人工智能算法工程师,重庆览辉信息技术有限公司,重庆-九龙坡区,1-1.6万/月
算法工程师-人工智能,知行汽车科技（苏州）有限公司,苏州-工业园区,1.5-2.5万/月
AI人工智能实习生,深圳市佳创业科技有限公司,深圳-龙华区,6-8千/月
人工智能高级主管,长沙普惠环保机械有限公司,长沙,1.5-2万/月
人工智能研发工程师,深圳市潮流网络技术有限公司杭州分公司,杭州-西湖区,1.5-3万/月
人工智能研究员（生物医学）,兆瑞医学（深圳）有限公司,广州-海珠区,1-1.5万/月
投资经理（TMT  机器人  人工智能）,北京泰德基金管理有限公司,北京-朝阳区,1-3万/月
方案工程师（人工智能）,杭州瑞亚教育科技有限公司,杭州-滨江区,1-2万/月
人工智能工程师,宁波欧朗光电科技有限公司,宁波-北仑区,2-2.5万/月
人工智能处理器工程师,深圳锐越微技术有限公司,深圳-龙岗区,20-40万/年
人工智能算法工程师,深圳市超准视觉科技有限公司,深圳-宝安区,1.5-3万/月
人工智能架构师,北海石基信息技术有限公司,长沙-岳麓区,2-3万/月
人工智能算法工程师,广东莱佛士制药技术有限公司,深圳-坪山区,1.5-2.5万/月
人工智能算法工程师,深圳市资福医疗技术有限公司,深圳-南山区,2.5-4万/月
大数据与人工智能教师,重庆工程学院,重庆-巴南区,0.5-1.2万/月
产品经理（AI人工智能方向）,成都润联科技开发有限公司,成都-武侯区,1.5-2.5万/月
人工智能运营岗,广东联通通信建设有限公司,广州-天河区,0.6-1万/月
系统运维工程师（人工智能所）,哈工大机器人（合肥）国际创新研究院,合肥-经开区,1-1.5万/月
人工智能图像算法工程师,上海昕健医疗技术有限公司,上海-嘉定区,2.5-3万/月
人工智能研发工程师/主管,深圳市智天物联科技有限公司,深圳-宝安区,1-2万/月
艾度教育科技人工智能课程教师,神州天立教育投资有限责任公司,成都-青羊区,8-20万/年
人工智能工程师助理,哈尔滨嘉腾信息技术有限公司,哈尔滨-香坊区,4.5-6千/月
人工智能工程师,重庆足下科技有限公司,重庆-沙坪坝区,1.2-2万/月
人工智能工程师,哈尔滨跃渊环保智能装备有限责任公司,哈尔滨-道外区,10-15万/年
人工智能营销经理,重庆兆光科技股份有限公司,重庆-渝北区,3.5-7千/月
人工智能引擎研发工程师,广东美云智数科技有限公司,佛山-顺德区,1.5-3.5万/月
人工智能应用软件工程师,广州英码信息科技有限公司,广州-黄埔区,0.7-1.3万/月
人工智能算法科学家,中国华能集团清洁能源技术研究院有限公司,北京-昌平区,5-9万/月
人工智能算法工程师,明峰医疗系统股份有限公司,杭州-江干区,1.5-3万/月
Android开发工程师(人工智能方向）,武汉力龙信息科技股份有限公司,武汉,1.5-2万/月
